,City,Temperature,Humidity,Cloudiness,Wind Speed,Latitude,Longitude
80,bathsheba,80.6,74.0,20.0,14.99,13.22,-59.52
81,georgetown,78.8,94.0,20.0,6.93,6.8,-58.16
82,acajutla,79.01,91.0,32.0,3.6,13.59,-89.83
83,derzhavinsk,48.5,80.0,56.0,8.75,51.1,66.31
84,pisco,71.6,30.0,0.0,16.11,-13.71,-76.2
85,jamestown,51.38,61.0,0.0,6.06,-33.21,138.6
86,coihaique,38.21,69.0,0.0,8.05,-45.58,-72.07
87,new norfolk,53.6,58.0,0.0,11.41,-42.78,147.06
89,gizo,78.8,78.0,20.0,3.36,31.8,34.94
90,punta arenas,39.2,64.0,0.0,11.41,-53.16,-70.91
91,corozal,85.04,88.0,20.0,8.75,18.39,-88.39
92,kaitangata,48.23,75.0,20.0,17.47,-46.28,169.85
93,kawalu,62.9,94.0,48.0,1.7,-7.38,108.21
94,saldanha,57.95,70.0,8.0,3.04,41.42,-6.55
96,tarakan,79.01,100.0,36.0,3.94,3.3,117.63
98,melun,60.19,59.0,44.0,13.87,48.54,2.66
100,souillac,56.21,82.0,0.0,3.36,45.6,-0.6
101,yatou,75.2,100.0,75.0,8.19,3.63,9.81
102,kununurra,75.2,22.0,0.0,5.82,-15.77,128.74
104,ribeira grande,75.68,100.0,24.0,9.53,38.52,-28.7
105,kenai,60.55,66.0,40.0,23.04,60.55,-151.26
106,praia da vitoria,73.4,88.0,40.0,10.98,38.73,-27.07
107,asmar,61.55,86.0,48.0,2.04,35.03,71.36
108,kirakira,76.13,100.0,92.0,8.08,-10.46,161.92
109,constitucion,80.6,32.0,75.0,14.99,23.99,-104.67
110,shakhovskaya,48.32,82.0,0.0,3.94,56.03,35.51
112,bubaque,78.8,94.0,20.0,2.24,11.28,-15.83
115,fairbanks,54.48,74.0,75.0,10.29,64.84,-147.72
116,aklavik,53.6,54.0,75.0,9.19,68.22,-135.01
117,east london,68.12,97.0,0.0,26.89,-33.02,27.91
118,arraial do cabo,74.33,81.0,0.0,24.09,-22.97,-42.02
119,tyret pervaya,55.88,88.0,0.0,2.71,53.67,102.31
120,byron bay,66.2,63.0,40.0,9.17,-28.65,153.62
121,gallup,79.02,26.0,1.0,3.36,35.53,-108.74
122,yellowknife,57.2,44.0,75.0,10.29,62.45,-114.38
123,dubai,92.07,53.0,0.0,5.82,25.27,55.3
124,katsuura,85.73,62.0,75.0,9.17,33.93,134.5
125,husavik,76.04,77.0,0.0,4.5,50.56,-96.99
126,voghera,75.24,78.0,75.0,8.05,44.99,9.01
127,brae,51.8,81.0,92.0,17.22,60.4,-1.35
128,longyearbyen,39.2,69.0,40.0,12.75,78.22,15.63
129,hamilton,82.4,74.0,40.0,5.82,32.3,-64.78
130,prince rupert,55.4,93.0,90.0,3.36,54.32,-130.32
131,half moon bay,72.23,67.0,40.0,21.92,37.46,-122.43
132,saurimo,63.89,95.0,24.0,2.59,-9.66,20.4
133,malinovoye ozero,66.5,56.0,88.0,7.07,51.68,79.77
134,govindgarh,75.86,91.0,20.0,9.08,27.5,77.0
135,erzin,78.78,74.0,0.0,10.29,36.95,36.2
136,hermanus,40.58,90.0,8.0,3.15,-34.42,19.24
137,waddan,79.01,43.0,0.0,11.99,29.16,16.14
138,muros,55.4,100.0,20.0,8.05,42.77,-9.06
139,port blair,80.18,100.0,92.0,24.2,11.67,92.75
140,bambous virieux,71.6,68.0,40.0,11.41,-20.34,57.76
141,ichhawar,74.42,90.0,88.0,11.21,23.03,77.02
143,moorhead,73.06,78.0,40.0,4.7,46.87,-96.75
145,kalmunai,72.8,100.0,0.0,3.49,7.42,81.82
146,glace bay,62.6,77.0,20.0,8.05,46.2,-59.96
147,saint-joseph,73.99,78.0,75.0,2.24,43.56,6.97
148,olyka,65.87,85.0,8.0,9.75,50.73,25.81
149,poum,62.6,77.0,75.0,3.36,41.28,20.71
150,carlsbad,58.23,71.0,40.0,2.24,50.23,12.87
151,kasongo-lunda,70.82,87.0,64.0,2.15,-6.48,16.82
152,pandan,81.53,100.0,48.0,15.01,11.72,122.09
153,tilichiki,61.55,73.0,0.0,4.61,60.47,166.1
154,ixtapa,87.8,79.0,90.0,11.41,20.71,-105.21
155,sao joao do piaui,81.08,42.0,0.0,12.55,-8.36,-42.25
156,kloulklubed,82.4,78.0,75.0,5.82,7.04,134.26
157,korotych,59.0,44.0,0.0,4.47,49.95,36.04
158,biak,77.93,92.0,56.0,2.93,-0.91,122.88
159,kodiak,87.08,72.0,1.0,6.93,39.95,-94.76
160,ponta do sol,69.2,53.0,20.0,6.4,-20.63,-46.0
161,vao,68.39,75.0,76.0,14.56,59.1,26.19
162,manta,62.18,90.0,32.0,2.93,45.1,24.1
163,madimba,75.2,100.0,75.0,3.49,4.42,9.93
164,nador,70.63,60.0,0.0,2.24,35.17,-2.93
165,znamenskoye,57.86,93.0,68.0,8.19,57.13,73.82
166,puerto vallarta,87.8,79.0,90.0,11.41,20.61,-105.23
167,bethel,53.06,85.0,90.0,13.87,60.79,-161.76
169,berdigestyakh,56.06,95.0,36.0,3.71,62.1,126.7
170,marsa matruh,78.8,83.0,0.0,8.05,31.35,27.25
171,khatanga,54.44,79.0,0.0,14.0,71.98,102.47
172,nara,84.99,62.0,40.0,9.17,34.68,135.8
175,vestmannaeyjar,49.22,92.0,0.0,9.98,63.44,-20.27
176,goderich,71.18,63.0,20.0,15.23,43.74,-81.71
177,barrow,42.47,69.0,0.0,10.54,-38.31,-60.23
178,lindi,63.08,90.0,0.0,3.49,-10.0,39.71
179,lompoc,69.6,65.0,20.0,16.11,34.64,-120.46
180,aripuana,84.05,64.0,76.0,1.48,-9.17,-60.63
181,clyde river,39.2,93.0,1.0,17.22,70.47,-68.59
182,sur,83.6,94.0,12.0,3.94,22.57,59.53
184,upernavik,41.03,92.0,0.0,9.98,72.79,-56.15
185,banjarmasin,73.4,88.0,0.0,4.94,-3.32,114.59
186,padang,80.72,100.0,12.0,11.99,-0.92,100.36
187,megion,46.4,100.0,0.0,2.24,61.04,76.11
188,morondava,67.13,94.0,0.0,4.72,-20.3,44.28
189,kyaikkami,73.52,100.0,92.0,4.94,16.08,97.57
190,cesky krumlov,62.6,88.0,75.0,6.93,48.81,14.32
191,los llanos de aridane,71.6,83.0,0.0,8.05,28.66,-17.92
192,trinidad,45.35,94.0,48.0,16.24,-33.52,-56.9
193,wasilla,58.8,77.0,90.0,4.7,61.58,-149.44
194,nurota,66.2,25.0,0.0,9.17,40.56,65.69
196,nome,88.27,63.0,1.0,9.17,30.04,-94.42
199,taoudenni,83.96,17.0,0.0,4.16,22.68,-3.98
200,yablonovo,57.2,62.0,0.0,6.71,50.85,37.36
201,benguela,66.5,100.0,8.0,5.5,-12.58,13.4
202,robertsport,77.03,100.0,92.0,7.18,6.75,-11.37
203,provideniya,46.97,100.0,92.0,5.17,64.42,-173.23
204,ilulissat,51.8,72.0,56.0,21.92,69.22,-51.1
205,torbay,64.4,77.0,75.0,19.46,47.66,-52.73
206,pevek,36.8,100.0,92.0,12.1,69.7,170.27
207,manaure,86.0,74.0,40.0,12.75,11.78,-72.45
208,zhigansk,54.35,75.0,12.0,3.04,66.77,123.37
209,yenagoa,73.43,97.0,92.0,6.06,4.92,6.26
211,saint george,68.0,72.0,20.0,4.7,39.45,22.34
213,belyy yar,50.0,93.0,0.0,2.24,53.6,91.39
214,faanui,79.82,100.0,44.0,9.19,-16.48,-151.75
215,saint-lo,55.4,87.0,90.0,12.75,49.12,-1.09
216,huicungo,79.37,68.0,0.0,0.69,-7.28,-76.8
217,lata,57.14,100.0,32.0,1.48,30.78,78.62
218,chowchilla,89.26,28.0,1.0,6.93,37.12,-120.26
219,sao jose da coroa grande,74.06,96.0,92.0,10.2,-8.9,-35.15
220,vila franca do campo,71.6,78.0,40.0,5.82,37.72,-25.43
221,christchurch,50.0,57.0,0.0,10.29,-43.53,172.64
222,alihe,66.14,81.0,88.0,3.49,50.57,123.73
223,tommot,56.96,86.0,0.0,3.38,58.97,126.27
224,mount gambier,50.75,80.0,0.0,3.49,-37.83,140.78
225,divo,72.53,95.0,80.0,8.08,5.83,-5.36
226,susanville,82.4,11.0,1.0,12.75,40.42,-120.65
227,tasiilaq,39.2,86.0,80.0,9.19,65.61,-37.64
228,marfino,50.59,81.0,0.0,2.93,56.07,37.56
229,hasaki,86.67,66.0,75.0,16.11,35.73,140.83
231,luau,66.68,49.0,20.0,3.94,-10.7,22.23
232,thompson,53.6,54.0,90.0,2.24,55.74,-97.86
233,bagan,57.68,92.0,76.0,2.71,54.1,77.67
234,saiha,70.55,99.0,44.0,1.92,22.49,92.98
235,dongsheng,77.84,70.0,0.0,9.53,29.72,112.52
236,qandala,78.47,63.0,0.0,5.17,11.47,49.87
237,hit,78.92,26.0,0.0,7.18,33.64,42.83
238,anadyr,57.2,71.0,40.0,6.71,64.73,177.51
240,hesla,74.06,96.0,64.0,3.6,24.07,85.88
242,huron,80.62,68.0,1.0,10.29,44.36,-98.21
243,meulaboh,77.66,100.0,12.0,4.72,4.14,96.13
244,kysyl-syr,57.23,76.0,44.0,4.16,63.9,122.77
245,the pas,53.6,58.0,75.0,9.17,53.82,-101.24
246,camacha,74.64,83.0,20.0,6.93,33.08,-16.33
247,nishihara,88.38,56.0,20.0,6.93,35.74,139.53
248,adwa,60.02,100.0,88.0,2.48,14.16,38.9
249,bima,74.33,90.0,0.0,3.71,-8.45,118.73
250,strezhevoy,46.4,100.0,8.0,2.24,60.73,77.6
251,klaksvik,48.2,76.0,88.0,23.04,62.23,-6.59
252,kendari,77.48,81.0,48.0,2.93,-3.99,122.52
253,cao bang,73.16,95.0,56.0,3.6,22.67,106.25
254,manuk mangkaw,82.52,100.0,32.0,5.95,4.8,119.85
255,port alfred,66.68,77.0,0.0,19.04,-33.59,26.89
256,waitati,44.72,76.0,12.0,14.79,-45.75,170.57
257,belen,80.6,74.0,0.0,10.29,36.49,36.19
258,veraval,55.4,93.0,64.0,11.41,49.65,0.71
259,yarada,78.83,100.0,92.0,22.86,17.65,83.27
260,coffs harbour,60.8,77.0,40.0,8.05,-30.3,153.13
261,camopi,79.1,68.0,12.0,4.72,3.17,-52.33
262,verkhoyansk,47.15,80.0,32.0,9.98,67.55,133.39
263,tessalit,76.13,66.0,76.0,7.63,20.2,1.01
264,mandera,81.89,45.0,76.0,10.42,3.94,41.86
265,ostrovnoy,50.3,83.0,56.0,13.78,68.05,39.51
267,alyangula,77.3,91.0,0.0,6.73,-13.85,136.42
268,abrau-dyurso,71.6,53.0,0.0,6.71,44.7,37.6
269,sept-iles,62.6,51.0,75.0,6.93,50.2,-66.38
270,bogorodskoye,63.8,82.0,0.0,2.93,52.37,140.44
271,garachine,79.46,100.0,20.0,3.38,8.06,-78.36
272,la asuncion,47.51,59.0,0.0,1.7,-1.64,-78.74
274,puerto quijarro,86.94,54.0,40.0,5.82,-19.0,-57.72
275,nikolskoye,60.8,77.0,0.0,11.18,59.7,30.79
276,arona,60.98,82.0,0.0,8.05,45.76,8.56
277,tiksi,43.73,99.0,88.0,6.17,71.64,128.87
278,luderitz,52.82,98.0,76.0,3.94,-26.65,15.16
279,broome,48.2,100.0,8.0,11.41,52.47,1.45
280,san jose,73.07,99.0,92.0,1.7,15.79,120.99
281,barsovo,50.0,100.0,0.0,4.47,61.17,73.17
282,severo-kurilsk,52.1,99.0,20.0,4.5,50.68,156.12
284,deputatskiy,47.6,69.0,0.0,3.71,69.3,139.9
285,nelson bay,66.2,55.0,40.0,9.17,-32.72,152.14
286,dir,62.99,90.0,68.0,2.93,6.33,13.54
288,karratha,60.65,34.0,0.0,14.79,-20.74,116.85
289,avila,75.7,50.0,40.0,9.17,38.91,-76.61
290,chichimila,81.53,84.0,80.0,3.71,20.62,-88.22
291,matara,45.26,50.0,0.0,1.92,-13.74,-72.9
292,chokurdakh,41.12,86.0,64.0,11.77,70.62,147.9
293,kluang,75.2,94.0,75.0,2.24,2.04,103.32
294,noshiro,83.46,78.0,75.0,10.29,40.21,140.05
295,quatre cocos,71.6,68.0,40.0,11.41,-20.21,57.76
296,ziarat,50.93,41.0,0.0,4.94,30.38,67.73
297,panacan,80.6,83.0,75.0,2.24,7.15,125.66
299,raver,73.43,94.0,80.0,9.53,21.25,76.04
300,itarema,78.02,77.0,0.0,14.56,-2.92,-39.92
301,shalya,47.78,93.0,64.0,8.97,57.25,58.73
302,leningradskiy,36.89,100.0,80.0,14.12,69.38,178.42
303,galveston,69.35,68.0,90.0,9.17,40.58,-86.19
304,bahia honda,81.35,86.0,80.0,4.72,22.9,-83.16
306,matagami,65.78,98.0,92.0,3.71,9.67,8.4
307,makakilo city,80.65,62.0,90.0,25.28,21.35,-158.09
308,feicheng,73.88,77.0,0.0,4.94,36.18,116.77
309,sarkand,65.42,34.0,0.0,9.75,45.41,79.91
310,acapulco,86.0,70.0,75.0,8.05,16.86,-99.88
311,shangzhi,65.96,94.0,68.0,7.4,45.21,127.96
312,la ronge,44.6,93.0,90.0,9.17,55.1,-105.3
313,port elizabeth,73.35,81.0,1.0,8.63,39.31,-74.98
314,grand gaube,71.6,68.0,40.0,11.41,-20.01,57.66
315,nouakchott,79.91,100.0,32.0,14.45,18.08,-15.98
316,batagay-alyta,42.38,85.0,80.0,9.08,67.8,130.41
317,sinaloa,104.45,14.0,20.0,10.29,32.55,-115.28
318,abnub,80.6,42.0,0.0,13.87,27.27,31.15
319,kati,80.6,88.0,40.0,4.7,12.75,-8.07
320,pochutla,80.42,94.0,90.0,1.59,15.74,-96.47
321,kangaba,75.86,87.0,0.0,3.38,11.94,-8.41
322,whitehorse,59.0,58.0,75.0,5.82,60.72,-135.06
323,port-gentil,77.0,83.0,75.0,9.17,-0.72,8.78
324,vikindu,71.6,88.0,75.0,4.61,-6.98,39.3
325,hirara,81.54,88.0,75.0,11.41,24.8,125.28
326,havre,69.98,43.0,1.0,20.8,48.55,-109.68
327,kargopol,54.35,85.0,0.0,10.65,61.51,38.95
328,caravelas,74.6,100.0,12.0,12.44,-17.73,-39.27
329,pascagoula,84.67,69.0,1.0,3.49,30.37,-88.56
330,vardo,73.58,46.0,1.0,4.7,39.62,-77.74
331,buchanan,75.2,94.0,75.0,4.72,5.88,-10.05
332,nova olinda do norte,82.79,64.0,0.0,3.6,-3.89,-59.1
333,khandyga,56.69,100.0,92.0,4.05,62.65,135.58
334,vostok,64.07,66.0,88.0,4.72,46.45,135.83
335,birao,73.61,80.0,64.0,8.08,10.3,22.78
336,kungurtug,38.06,85.0,0.0,2.37,50.6,97.53
337,haldensleben,58.4,60.0,88.0,7.07,52.29,11.41
339,batagay,52.55,74.0,0.0,12.21,67.65,134.64
340,bilibino,39.32,99.0,92.0,3.15,68.06,166.44
341,college,54.48,74.0,75.0,10.29,64.86,-147.8
342,arroyo,67.68,56.0,1.0,5.82,41.39,-78.88
343,laguna,96.8,32.0,20.0,5.82,27.52,-110.01
344,cascais,69.8,56.0,0.0,16.11,38.7,-9.42
345,namibe,64.97,100.0,0.0,4.38,-15.19,12.15
346,payo,72.08,96.0,20.0,3.71,-3.75,103.64
347,vinh,79.82,87.0,92.0,7.63,18.67,105.69
348,kulhudhuffushi,82.16,100.0,88.0,11.99,6.62,73.07
349,manhumirim,63.98,77.0,76.0,6.96,-20.36,-41.96
350,vacaria,56.6,99.0,92.0,11.21,-28.51,-50.94
351,san patricio,56.06,77.0,0.0,9.42,-26.98,-56.83
353,lorengau,82.52,100.0,36.0,5.5,-2.02,147.27
354,joutseno,66.2,72.0,0.0,5.82,61.11,28.48
356,san rafael,35.09,35.0,0.0,5.61,-34.61,-68.33
357,elat,67.76,96.0,48.0,2.48,2.91,11.16
359,lanzhou,60.8,87.0,75.0,6.71,36.06,103.82
360,synya,49.58,95.0,92.0,6.96,65.37,58.04
361,iguape,67.76,91.0,92.0,4.38,-24.7,-47.56
362,santa maria,55.4,93.0,90.0,10.29,-29.69,-53.81
363,alekseyevka,59.0,67.0,0.0,8.95,53.25,50.49
364,diego de almagro,56.87,85.0,0.0,2.48,-26.39,-70.05
365,angoche,76.94,100.0,0.0,8.08,-16.23,39.91
366,sereflikochisar,62.45,80.0,0.0,4.72,38.94,33.54
367,genhe,64.61,80.0,68.0,3.94,50.78,121.52
368,kutum,67.13,87.0,68.0,2.93,14.2,24.66
369,ban tak,72.35,99.0,92.0,1.7,17.04,99.08
370,marshall,66.27,87.0,90.0,10.29,39.39,-87.69
371,mugur-aksy,29.96,73.0,0.0,1.7,50.38,90.44
372,santa vitoria do palmar,50.39,100.0,92.0,25.21,-33.52,-53.37
373,mattru,74.42,98.0,88.0,3.15,7.62,-11.83
374,mnogovershinnyy,66.68,83.0,8.0,2.71,53.94,139.92
375,seguin,97.99,29.0,1.0,12.75,29.57,-97.96
376,rexburg,80.28,17.0,1.0,17.22,43.82,-111.79
377,komsomolskiy,48.95,99.0,92.0,13.67,67.55,63.78
378,francisco beltrao,60.92,100.0,80.0,4.94,-26.08,-53.05
379,varhaug,50.0,93.0,75.0,5.82,58.61,5.65
380,tashtagol,45.08,82.0,8.0,2.15,52.76,87.85
381,arequipa,60.8,19.0,0.0,8.05,-16.4,-71.54
382,mountain home,83.34,20.0,20.0,18.34,43.13,-115.69
383,azul,45.98,51.0,0.0,14.23,-36.78,-59.86
384,dzaoudzi,69.8,94.0,0.0,2.24,-12.79,45.27
385,mahebourg,71.6,68.0,40.0,11.41,-20.41,57.7
387,san carlos de bariloche,37.4,64.0,90.0,18.34,-41.13,-71.31
388,namuac,84.32,80.0,76.0,18.81,18.61,121.17
389,codrington,58.4,100.0,24.0,2.37,-28.95,153.24
390,dutlwe,64.7,46.0,76.0,15.57,-23.98,23.93
391,takoradi,75.32,94.0,92.0,8.52,4.89,-1.75
392,richards bay,60.2,98.0,36.0,7.4,-28.77,32.06
394,uspenskaya,70.19,52.0,0.0,12.66,45.78,41.07
395,ponta delgada,71.6,78.0,40.0,5.82,37.73,-25.67
397,puerto escondido,82.4,74.0,90.0,11.41,15.86,-97.07
398,da lat,69.92,90.0,80.0,4.5,11.95,108.44
399,skibbereen,50.0,87.0,20.0,4.7,51.55,-9.27
400,shache,58.58,95.0,24.0,5.95,38.42,77.24
401,maragogi,74.06,96.0,92.0,10.2,-9.01,-35.22
402,registro,69.29,86.0,92.0,7.96,-24.5,-47.84
403,ciudad bolivar,77.39,94.0,80.0,7.96,8.12,-63.55
404,saskylakh,47.87,88.0,0.0,4.5,71.97,114.09
406,muncar,74.87,91.0,0.0,5.39,-8.43,114.34
407,geraldton,66.2,72.0,90.0,9.17,49.72,-86.95
408,bandar,72.26,98.0,8.0,5.06,-4.2,104.14
409,ilheus,74.96,100.0,56.0,8.41,-14.79,-39.05
410,gisborne,56.42,62.0,0.0,13.22,-38.66,178.02
411,dobbs ferry,73.56,73.0,20.0,6.96,41.01,-73.87
412,wilmington,72.97,62.0,1.0,5.82,39.75,-75.55
413,puerto penasco,89.81,80.0,0.0,10.42,31.32,-113.53
414,isetskoye,46.43,88.0,48.0,3.04,56.49,65.32
415,termini imerese,73.4,83.0,40.0,5.82,37.98,13.7
416,gat,84.2,89.0,0.0,6.17,14.69,-16.54
417,pangkalanbuun,76.58,86.0,56.0,4.94,-2.68,111.62
418,new philadelphia,73.02,63.0,1.0,3.36,40.49,-81.45
419,zirandaro,90.44,44.0,8.0,2.93,18.45,-100.98
420,san ignacio,44.6,81.0,0.0,5.82,-36.8,-72.03
421,viedma,38.33,67.0,0.0,5.61,-40.81,-62.99
423,iqaluit,41.0,86.0,75.0,9.17,63.75,-68.52
424,lazarev,63.98,89.0,12.0,9.98,52.23,141.51
425,bida,69.2,98.0,76.0,3.15,9.08,6.02
426,tura,75.32,98.0,48.0,2.93,25.52,90.21
427,nouadhibou,73.4,73.0,20.0,11.41,20.93,-17.03
428,namatanai,81.26,100.0,64.0,1.92,-3.66,152.44
429,yazman,77.66,52.0,0.0,8.19,36.74,38.46
430,atar,84.86,27.0,0.0,3.6,20.52,-13.05
431,lathrop,80.87,39.0,1.0,5.82,37.82,-121.28
432,itaituba,86.0,66.0,20.0,3.94,-4.26,-55.99
433,lichtenburg,57.59,56.0,48.0,17.25,-26.15,26.16
435,karpogory,45.53,96.0,0.0,3.15,64.0,44.44
436,paita,62.6,290.0,0.0,12.75,-5.09,-81.11
437,bom jardim,72.35,94.0,92.0,9.42,-7.8,-35.59
438,kaduqli,71.0,99.0,88.0,0.58,11.01,29.72
439,turukhansk,52.82,79.0,0.0,10.09,65.8,87.96
441,kavieng,80.72,100.0,80.0,3.04,-2.57,150.8
442,bilma,82.25,43.0,0.0,11.1,18.69,12.92
443,sobolevo,55.52,67.0,0.0,11.21,54.43,31.9
444,norton shores,65.61,84.0,90.0,4.7,43.17,-86.26
445,rorvik,51.65,100.0,100.0,8.75,64.86,11.24
446,kamloops,73.4,38.0,5.0,6.93,50.68,-120.34
447,talnakh,52.28,69.0,8.0,6.73,69.49,88.39
448,kahului,74.08,96.0,90.0,20.8,20.89,-156.47
449,cabo san lucas,82.4,74.0,75.0,12.75,22.89,-109.91
450,ust-tsilma,36.44,87.0,8.0,2.59,65.44,52.15
452,egvekinot,50.12,63.0,56.0,2.59,66.32,-179.17
454,tubuala,77.0,94.0,40.0,9.17,9.52,-79.03
455,songea,57.32,83.0,8.0,4.38,-10.68,35.65
456,chicama,64.4,82.0,20.0,10.29,-7.84,-79.15
457,tonota,64.16,63.0,0.0,14.12,-21.44,27.46
458,jiazi,78.8,94.0,0.0,2.24,19.61,110.49
459,mehamn,50.93,92.0,92.0,11.65,71.03,27.85
460,casper,84.02,2.0,1.0,14.99,42.87,-106.31
461,ubinskoye,59.03,85.0,64.0,9.75,55.31,79.68
462,tarauaca,82.16,77.0,0.0,1.7,-8.16,-70.77
463,alta floresta,83.42,61.0,12.0,2.37,-9.87,-56.08
465,akdepe,59.0,58.0,0.0,6.93,42.05,59.39
466,lazaro cardenas,84.2,39.0,75.0,5.82,28.39,-105.62
467,puerto narino,80.6,88.0,75.0,3.71,-3.77,-70.38
468,arlit,86.39,34.0,20.0,7.63,18.74,7.39
469,tricase,74.03,78.0,75.0,3.36,39.93,18.36
470,barao de melgaco,87.8,38.0,40.0,6.93,-16.19,-55.97
471,kirillov,54.71,87.0,0.0,5.39,59.86,38.38
472,loandjili,73.4,88.0,20.0,4.7,-4.77,11.87
473,castro,42.56,100.0,92.0,10.76,-42.48,-73.76
474,ugoofaaru,80.36,100.0,48.0,9.19,5.67,73.0
475,fernley,85.21,3.0,20.0,14.99,39.61,-119.25
476,limulunga,58.22,45.0,0.0,6.96,-15.13,23.15
477,marsaxlokk,77.0,78.0,20.0,12.75,35.84,14.54
478,sri aman,77.0,94.0,75.0,2.93,1.24,111.46
479,aksu,57.2,93.0,75.0,3.71,52.04,76.93
481,bonthe,76.31,96.0,88.0,4.38,7.53,-12.5
482,wangkui,62.72,96.0,100.0,18.7,46.83,126.5
483,buraydah,87.8,29.0,0.0,3.36,26.33,43.97
484,polis,71.6,88.0,20.0,8.05,35.04,32.42
